Nhận xét đánh giá,Cảm xúc
thầy rất hay,rất tốt
Giáo viên dạy khá tốt,rất tốt
Giảng viên dạy nhiệt tình,rất tốt
Gần gũi học sinhthan thiên vui tính ,rất tốt
Thầy dạy tốt,rất tốt
thầy dạy nhiệt tình vui vẻ,rất tốt
Giảng viên giảng dạy nhiệt tình trình bày nội dung bài giảng rõ ràng và dễ hiểu,rất tốt
giảng viên nhiệt tình giảng dạy cụ thể dễ hiểu,rất tốt
giáo viên nhiệt tình giẩng bài dễ hiểu,rất tốt
Thầy dạy dễ hiểu vui tính,rất tốt
thầy dạy nhiệt tình dể hiểu và thân thiện,rất tốt
Bài giảng đi sâu vào chuyên môn thầy dạy rất kĩ và cũng rất dễ hiểu,rất tốt
rất tốt,rất tốt
nhiệt tình,rất tốt
Thầy dạy rất tốt rất khoa học,rất tốt
không có ý kiến khác,rất tốt
dạy tốt,rất tốt
Tốt,rất tốt
tôt,rất tốt
Thầy dạy tốt,rất tốt
Tốt,rất tốt
Thầy dạy dễ hiểu hỗ trợ sinh viên nhiệt tình,rất tốt
tốt,rất tốt
Thầy nhiệt tình với sinh viên ,rất tốt
không có gì,rất tốt
Giảng viên dạy tốt,rất tốt
Tốt,rất tốt
tốt,rất tốt
Thầy dạy nhiệt tình dễ hiểu,rất tốt
một môn học thú vị ,rất tốt
Giáo viên tích cực giảng dạy Dễ hiểu,rất tốt
không tốt lắm,rất tốt
thầy dạy dễ hiểu,rất tốt
số lượng sinh viên quá đông phòng học nóng,rất tốt
Không có đề xuất,rất tốt
tích cực,rất tốt
nice,rất tốt
Thầy dạy nhiệt tình vui vẽ,rất tốt
No comment,rất tốt
thầy quá giỏi,rất tốt
Không ý kiến,rất tốt
không,rất tốt
Cô dạy dễ hiểu,rất tốt
nothing,rất tốt
Không ý kiến,rất tốt
Không,rất tốt
tốt,rất tốt
không có,rất tốt
tốt,rất tốt
tốt,rất tốt
Thay dạy rất tốt,rất tốt
Không co nhân xet,rất tốt
Giảng viên giảng dạy nhiệt tình trình bày nội dung bài giảng rõ ràng và dễ hiểukhách quan công bằng trong kiểm tra đánh giá em rất hài lòng với giảng viên giảng dạy môn học này,rất tốt
tốtot,rất tốt
Thầy Khang dạy cực hay dễ tiếp thu và có cung cấp thêm nhiều kiến bên lề Bên cạnh đó đây làm môn học mà bản thân thấy thích thú để học,rất tốt
Môn học rất hay,rất tốt
tốt,rất tốt
tạm,rất tốt
Giảng viên dạy tốt dễ hiểu,rất tốt
Thầy dạy hay nhiệt tình,rất tốt
không ý kiến,rất tốt
giảng viên nhiệt tình vui tính,rất tốt
Rất tốt hài lòng,rất tốt
Thầy dạy nhiệt tình và dạy rất nhiều thứ bổ ích,rất tốt
Giảng viên giảng dạy nhiệt tình dễ hiểu quan tâm đến sinh viên,rất tốt
Rất nhiệt tình Mong thầy giảng dạy lâu dài cho trường,rất tốt
Tốt Không tốt,rất tốt
thầy dạy rất hay và vui,rất tốt
tôt,rất tốt
Thầy dạy bình thường,rất tốt
Tốt,rất tốt
Thầy dạy tốt,rất tốt
Giảng viên cần khách quan hơn trong việc đánh giá,rất tốt
thầy tốt,rất tốt
giảng dạy nhiệt tình dễ hiểu,rất tốt
Thầy dạy nhiệt tình,rất tốt
thầy dạy rất hay,rất tốt
thầy dạy rất nhiệt tình nhưng hơi bị hiền dễ bị áp chế,rất tốt
thầy rất tốt,rất tốt
em hài lòng,rất tốt
không có gì để nhận xét ,rất tốt
Thầy nhiệt tình dể gần,rất tốt
Cách giảng dạy của thầy khó hiểu Thầy dạy quá nhanh,rất tốt
tốt,rất tốt
phương pháp giảng dạy tốt dễ hiểu,rất tốt
không có,rất tốt
giảng viên giảng dạy nhiệt tình,rất tốt
Tốt,rất tốt
Cô dạy rất nhiệt tình,rất tốt
Cô dạy hơi khó hiểu vui vẻ nhiệt tình,rất tốt
Nhiệt tình với sinh viên nhưng bài giảng của cô có một số phần hơi khó hiểu,rất tốt
Không nhận xét,rất tốt
Cô dạy tốt,rất tốt
Không hiểu bài,rất tốt
Giãng dạy hơi khó hiểu,rất tốt
Giáo viên giảng dạy nhiệt tình hăng say Bài giảng sinh động giúp học sinh dễ tiếp thu bài,rất tốt
dạy tốt,rất tốt
rất hay và ý nghĩa,rất tốt
Em không có ý kiến,rất tốt
tốt,rất tốt
Cô giảng bài hơi nhanh,rất tốt
Ổn,rất tốt
tạm được,rất tốt
Thầy rất nghiêm khắc trong việc giờ học Giảng rất nhiều kiến thức hay cho học sinh,rất tốt
Tốt,rất tốt
Em không co y kiên nao ca,rất tốt
Không có ý kiến,rất tốt
tốt,rất tốt
thầy nhiệt tình vui tính và hiểu sinh viên,rất tốt
Tot,rất tốt
rất tốt,rất tốt
tốt,rất tốt
thay dạy hay và de hiểu,rất tốt
giảng dạy nhiệt tìnhgiảng bài rất kĩ rất quan tâm đến việc học của sinh viêndạy de hiểu giúp em tiếp thu bài tốt,rất tốt
Không ý kiến,rất tốt
Thích cách dạy của thầy rất dễ hiểu,rất tốt
S,rất tốt
Thầy dạy tận tâm  quan tâm tới học sinh,rất tốt
Tốt,rất tốt
tôt,rất tốt
Thây day rât nhiêt tinh va thây đa truyên đat kiên thưc đên sv môt cach dê hiêu nhât  Chân thanh cam ơn thây ,rất tốt
thầy dạy dễ hiểu,rất tốt
Thầy dạy rất nhiệt tình rất để hiểu vui tính,rất tốt
Thầy dạy RẤT TỐTHAY,rất tốt
Thầy tận tuỵ với sinh viên Giảng dạy dễ hiểu ân cần ,rất tốt
tuyệt,rất tốt
exellent,rất tốt
giảng viên giảng dạy tận tình quan tâm đến tình hình học tập của sinh viên,rất tốt
học được,rất tốt
Tốt,rất tốt
thầy dạy rất hay và rất vui tính rất dễ hiểu mặc dù thầy hơi gắt go,rất tốt
tốt,rất tốt
môn học haygiảng viên rất nhiệt tình và quan tâm sinh viên,rất tốt
Thầy Nghĩa dạy cực hay,rất tốt
Thầy dạy rất hay  ,rất tốt
Thầy dạy tận tâm,rất tốt
không,rất tốt
Giảng viên dạy khá tốt,rất tốt
không ý kiến,rất tốt
thầy dạy rất tốt,rất tốt
rất tốt,rất tốt
Không ý kiến,rất tốt
Được học lại giáo viên nếu có thể,rất tốt
rất nghiêm túc và nhiệt tình,rất tốt
Rất tốt,rất tốt
Thầy dạy bài rất kỹ rất hay còn tạo cơ hội cho các bạn xung phong liên tục cả lớp đều hiểu bài giảng dạy nhiệt tình có tâm trong công việc,rất tốt
ok,rất tốt
Thầy dạy vui vẻ nhiệt tình rất dễ hiểu,rất tốt
Thầy giảng bài dễ hiểu nhiệt tình,rất tốt
Không có ý kiến,rất tốt
Thây vuo tính,rất tốt
Thầy rất hài hướcsinh động,rất tốt
Tận tình dạy giỏi rất thích,rất tốt
giáo viên dạy tốt,rất tốt
tốt,rất tốt
em không có đề xuất ,rất tốt
GIÁO VIÊN CÓ TRÁCH NHIỆM,rất tốt
thầy dạy hay,rất tốt
thầy dạy nhiệt tình sinh viên dễ hiểu cảm ơn thầy nhiều ạ,rất tốt
băt hoc sinh chep phat nhưng câu như em hưa se cân thân nhưng thây rât nhiêt tinh va tân tâm day cho hoc sinh nha trương se phat triên nêu như co nhưng gian viên như thây,rất tốt
Ok lắm,rất tốt
rất tốt ,rất tốt
Em không có đề xuất gì thêm,rất tốt
giáo viên dạy tốt,rất tốt
good,rất tốt
chưa tốt,rất tốt
Thầy dạy rất nhiệt tình tâm lí luôn quan tâm tạo điều kiện cho mỗi bạn có thể tham gia nhiệt tình trong mỗi buổi học khuyến khích lấy điểm cộng tạo tinh thần sôi nỗi trong suốt buổi hocCho nhiều bài tập sau những bài lý thuyết giúp học sinh khắc sâu hơn lí thuyết vừa học ,rất tốt
em không có ý kiến gì thêm,rất tốt
không,rất tốt
Cô dạy rất tốt,rất tốt
tốt,rất tốt
Không ý kiến,rất tốt
Chưa nhiệt tình giảng dạy không tạo sự gần gủi,rất tốt
Kha tôt,rất tốt
tạm,rất tốt
giảng viên giảng nhiệt tình tâm huyết,rất tốt
thầy dạy rất nhiệt tình,rất tốt
tốt,rất tốt
Thầy giảng dạy tốt và rất nhiệt tình,rất tốt
không ý kiến ,rất tốt
tốt,rất tốt
không có nhận xét,rất tốt
thầy dạy tốt  dễ hiểu  phòng học nóng cơ sở U,rất tốt
giảng viên nhiệt tình,rất tốt
Được,rất tốt
tốt,rất tốt
Tôt,rất tốt
tương đối dể hiểu ,rất tốt
Giảng viên dễ mến ân cần tích cực giúp sinh viên hiểu và thực hành bài,rất tốt
thầy dạy rất vui vẽ hiệu quả trong việc giảng dạy,rất tốt
không ý kiến,rất tốt
tôt,rất tốt
thầy dạy tốt dễ hiểu,rất tốt
Good,rất tốt
Thầy dạy rất êm lẫn thực hành và lý thuyết ,rất tốt
Tốt,rất tốt
miễn bình luận,rất tốt
Hài lòng,rất tốt
Dạ em không dám có ý kiến gì hết,rất tốt
không,rất tốt
Không có nhận xét,rất tốt
tốt,rất tốt
TỐT,rất tốt
Kết thúc môn khá lâu nên chẳng còn ấn tượng với thầy này,rất tốt
Rất tốt,rất tốt
tốt,rất tốt
Tốt,rất tốt
giảng dạy nhiêt tình,rất tốt
Day dê hiêu,rất tốt
Thầy dạy nhiệt tình quan tâm sinh viên,rất tốt
Dạy dễ tiếp thu Có chuyên môn cao,rất tốt
Tốt,rất tốt
no cmt,rất tốt
không co nhan xet,rất tốt
Tôt,rất tốt
hay,rất tốt
Không ý kiến  gi,rất tốt
Tốt,rất tốt
Tốt,rất tốt
Dạy hay,rất tốt
Tốt,rất tốt
tôt,rất tốt
Cô giảng dễ hiểu,rất tốt
cách giảng dạy hiệu quả,rất tốt
Giảng viên dạy rất hay ,rất tốt
tốt,rất tốt
Bt,rất tốt
Hài lòng với cách giảng dạy của thầy,rất tốt
Tốt,rất tốt
Tốt,rất tốt
Toi hai long voi bai giang va cach dạy cua thay de tiep thu  ,rất tốt
tốt,rất tốt
tốt,rất tốt
tốt,rất tốt
thầy dạy dễ hiểu,rất tốt
thầy rất là nhiệt tình,rất tốt
hài lòng với giảng viên giảng dạy môn học,rất tốt
giup toi biet duoc lam the nao de viet ra mot chuong trinh,rất tốt
tốt,rất tốt
dạy tốtdễ hiểu,rất tốt
Ko,rất tốt
tốt,rất tốt
cung tam dc,rất tốt
Không,rất tốt
Giáo viên dạy tốt,rất tốt
Không có ý kiến,rất tốt
Kiến thức môn học Lập trình hướng đối tượng rất cần cho sinh viên giúp sinh viên có khả năng tư duy tốt hơn tạo điều kiện để học các môn chuyên ngành về CNTT,rất tốt
Tot,rất tốt
Giảng viên giảng dậy rất nhiệt tình,rất tốt
Không có ý kiến,rất tốt
Dạy nhiệt tình và dễ hiểu,rất tốt
co dạy nhiệt tình,rất tốt
không nhận xét,rất tốt
k,rất tốt
tốt,rất tốt
dễ hiểu,rất tốt
tốt,rất tốt
không co ý kiến,rất tốt
giảng viên giảng dạy tốt,rất tốt
giảng viên dạy dễ hiểu,rất tốt
Không ý kiến,rất tốt
Vui vẻ và cực tốt,rất tốt
Tốt,rất tốt
Thầy dạy tốt dễ hiểu và luôn quan tâm đến sinh viên,rất tốt
A,rất tốt
Hài lòng,rất tốt
Giảng viên vui vẻ tận tình,rất tốt
Hài lòng,rất tốt
Không có,rất tốt
Không có ý kiến,rất tốt
Tốt,rất tốt
bình thường,rất tốt
Môn học rất tốt và bổ ích ,rất tốt
cô dạy rất ít giảng vô thực hành cô cho bài sv ngồi làm y như đánh chữ rồi cô bấm điện thoại cuối giờ cô chấm bài,rất tốt
Thầy rất vui tính rất chịu khó sửa bài cho SV có nhiểu kiến thức để giải đáp tất cả các câu hỏi của SV,rất tốt
không co,rất tốt
khó hiểu bài,rất tốt
sinh viên không nhận xét gì thêm,rất tốt
GV vui tính nhiệt tình hương dẫn bài rất dễ hiểu,rất tốt
Dạy tốt ,rất tốt
thây day dê hiêu rât quan tâm hoc sinh,rất tốt
KHÔNG,rất tốt
Tốt,rất tốt
hài lòng,rất tốt
tôt,rất tốt
không có ý kiến,rất tốt
Không có nhận xét gì thêm,rất tốt
dạy ok ,rất tốt
tốt,rất tốt
Tốt,rất tốt
giảng viên dạy dễ hiểu,rất tốt
không có nhận xét,rất tốt
OK,rất tốt
Thầy Cao Tùng Anh dạy rất chi tiết dễ hiểu  nhiều tài liệu tham khảo rất bổ ích Công bằng và khách quan trong việc đánh giá điểm quá trình cũng như điểm số của Sinh Viên  Bài giảng rất thực tế ,rất tốt
Tốt,rất tốt
Môn học hay ,rất tốt
Hài lòng,rất tốt
mon hoc tốt,rất tốt
không,rất tốt
tốt,rất tốt
miễn bình luận,rất tốt
Thầy giảng bài rất chi tiết ,rất tốt
Giáo viên dạy tốt,rất tốt
tốt,rất tốt
dạy tốt,rất tốt
giảng viên nhiệt tình,rất tốt
rất tốt,rất tốt
Tốt,rất tốt
tốt,rất tốt
không có,rất tốt
tốt,rất tốt
không có ý kiến,rất tốt
giảng viên dạy dễ hiểu,rất tốt
giáo viên nhiệt tình giẩng bài dễ hiểu,rất tốt
Thầy giảng bài chưa được dễ hiểu lắm,rất tốt
Không có,rất tốt
không co,rất tốt
tốt,rất tốt
Giáo viên dạy tốt,rất tốt
thầy chưa nghiêm minh,rất tốt
không tốt,rất tốt
Thầy dạy dễ hiểu,rất tốt
Thầy dạy tốt,rất tốt
hài lòng,rất tốt
Không có ý kiến,rất tốt
không có ý kiến,rất tốt
Tốt,rất tốt
hai long,rất tốt
tốt,rất tốt
không co,rất tốt
Nên giảm tải môn đại cương,rất tốt
Không có ý kiến,rất tốt
cô dạy hayhiền vui,rất tốt
Tốt,rất tốt
môn học rất tốt,rất tốt
Khong,rất tốt
Thầy dạy tương đối dễ hiểu hòa đồng nhiệt tình,rất tốt
Nên  buồi cuối cùng luyện bài tập,rất tốt
Thầy giảng dạy rất nhiệt tình dạy rất hay Rất tốt,rất tốt
tốt,rất tốt
Thầy dạy dễ hiểu,rất tốt
Tot,rất tốt
Thầy dạy tốt,rất tốt
tốt,rất tốt
không có,rất tốt
Tốt,rất tốt
