Nhận xét đánh giá,Cảm xúc
đồng ý,bình thường
Em thấy ổn rồi,bình thường
không có ,bình thường
Em không có ý kiếnThân,bình thường
không ý kiến,bình thường
không,bình thường
mon hoc rất huu ich,bình thường
Không có nhận xét gì thêm,bình thường
không có,bình thường
bình thường,bình thường
bình thường,bình thường
Khá,bình thường
không,bình thường
không có,bình thường
không,bình thường
thầy dạy nhiệt tìnhluôn giúp đỡ sinh viên trong quá trình học tập,bình thường
Vui tính  Tốt,bình thường
chưa tốt,bình thường
không ý kiến,bình thường
không có nhận xét,bình thường
No comment,bình thường
Nhiệt tình chu đáo giỏi chuyên môn,bình thường
thầy vui vẻ,bình thường
Sinh viên nắm được bài,bình thường
Hài lòng,bình thường
thầy rất vui vẻ dạy dễ hiểu,bình thường
Tốt,bình thường
Tốt,bình thường
Môn học này khá hay tuy nhiên giảng viên dạy vẫn chưa cuốn hút gây nhàm chán,bình thường
không,bình thường
thầy nên dạy kỹ hơn ,bình thường
thầy dạy tốt tuy nhiên thầy nói hơi nhỏ,bình thường
Tốt,bình thường
hay và tốt,bình thường
Tạm,bình thường
Môn học hay nhưng giảng viên dạy không được hay,bình thường
Bình thương,bình thường
Tốt,bình thường
Em cảm ơn Thầy đã truyền đạt những kiến thức bổ ích về môn Bảo mật thông tin,bình thường
Thầy rất nhiệt tình ,bình thường
tốt,bình thường
Môn học hay,bình thường
không có đề xuất gì thêm,bình thường
Tốt,bình thường
Gv thực hiện tốt vai trò giảng dạy của mình,bình thường
không có ý kiến,bình thường
rất co trach nhiem ,bình thường
Thầy giảng bài rất chi tiết ,bình thường
không,bình thường
Thây day rât tôt,bình thường
dạy rất tốt,bình thường
thầy dạy dễ hiểu,bình thường
giáo viên giảng hay thân thiện truyền đạt nhiều thông tin có giá trị cao,bình thường
rất hay,bình thường
Thầy dạy tốt giảng bài rất kỹ và rõ ràng,bình thường
Môn học hay và thú vị,bình thường
cảm thấy hài lòng,bình thường
Không có,bình thường
Thầy nhiệt tình,bình thường
Khong co,bình thường
Nhìn chung thì cũng tạm ổn ,bình thường
môn hoc rất tốt và bổ ích,bình thường
Không có,bình thường
Thầy dạy nhiệt tình tài liệu phong phú,bình thường
ok,bình thường
tốt,bình thường
tốt,bình thường
không có nhận xét,bình thường
giảng viên dạy khá dễ hiểu,bình thường
Thầy dạy rất nhiệt tình và dể hiểu,bình thường
sinh viên không nhận xét gì thêm,bình thường
giảng viên nhiệt tình ,bình thường
không co nhan xet,bình thường
Thầy dạy rất hay và nhiệt tình ,bình thường
Dạy tốt giúp sinh viên mau tiếp thu,bình thường
thầy dạy nhiệt tình,bình thường
không,bình thường
tốt,bình thường
Giảng viên dạy tốt,bình thường
GV nhiệt tình,bình thường
Cô dạy nhiệt tình và dễ hiểu,bình thường
Không nhận xét và đề xuất gì,bình thường
không ý kiến,bình thường
thầy dạy hay và kĩ càng,bình thường
dạy tốt,bình thường
Không có đề xuất,bình thường
không có nhận xét gì,bình thường
thầy dạy rất hay và dễ hiểu,bình thường
Binh thương,bình thường
thầy giảng quá hay rất hữu ích,bình thường
Tốt,bình thường
giáo viên dạy nhiệt tình dễ hiểu,bình thường
giảng viên dạy khá,bình thường
Tốt,bình thường
Tất cả đều tốt,bình thường
Rất hài lòng,bình thường
Tot,bình thường
rất hai long ,bình thường
Cô dạy nhiệt tình và dễ hiểu,bình thường
tốt,bình thường
Không,bình thường
tốt,bình thường
được,bình thường
Giảng viên giảng dạy nhiệt tình,bình thường
Giảng hay chuyên môn giỏi nhiệt tình,bình thường
Không,bình thường
Tot,bình thường
KHÔNG,bình thường
Cô day nhiêt tinh,bình thường
Em hài lòng với giảng viên,bình thường
Tốt ,bình thường
Tốt,bình thường
Cô dạy tốt,bình thường
vui vẻ nhiệt tình trong giảng dạy,bình thường
Thầy dạy tốt,bình thường
tốt,bình thường
trong quá trình giảng thầy nói chuyện còn hơi nhỏ nhưng lại rất nhiệt tình chỉ dẫn cho sinh viên cũng khá là vui vẻ,bình thường
tốt,bình thường
không,bình thường
Tốt,bình thường
Không đề xuất,bình thường
môn học thú vị,bình thường
Tốt,bình thường
tạo hứng thú cho người học nhiệt tình trong giảng dạy,bình thường
không có nhận xét gì thêm,bình thường
Giảng dạy được,bình thường
tận tình dễ hiểu ,bình thường
Hài lòng về thầy kiến thức sâu rộng giảng dạy nhiệt tình hỗ trợ sv nhiệt tình,bình thường
Cô day đươc,bình thường
không co,bình thường
