Nhận xét đánh giá,,,,,
...,không liên quan,,,,
2 giáo viên dạy song song nên làm khó hiểu bài giảng ,rất tệ,,,,
"Cách thầy dạy em thấy cũng được thôi ạ, nhưng em cũng không thấy bài giảng của thầy khiến em hứng thú!",rất tệ,,,,
Cô có lẽ chưa quan tâm đến sinh viên lắm,rất tệ,,,,
CẦN CÓ SỐ LƯỢNG TIẾT NHIỀU HƠN,rất tệ,,,,
"Cần bổ sung thêm những bộ luật ,nghị định ,thông tư thêm vào giáo trình.",rất tệ,,,,
Cần giảng nhiều vào trọng tâm bài học,rất tệ,,,,
Cần tạo nhiều cơ hội cho sinh viên phát biểu ý kiến,rất tệ,,,,
Cần đưa thực tế vào bài học nhiều hơn.,rất tệ,,,,
Diem danh khong chinh xac,rất tệ,,,,
"Dạy còn buồn ngủ quá, phải hoạt bát lên cho lớp học sinh động hơn tý nữa",rất tệ,,,,
Dạy không hay,rất tệ,,,,
Khi phân công thuyết trình thầy chưa nói rõ nội dung làm việc của nhóm phản biện là cần chuẩn bị power point và không được đặt câu hỏi cho nhóm trình bày.,rất tệ,,,,
"Không thích cách cô cho nhóm thuyết trình về nội dung bài học, như vậy nhóm thuyết trình không hiểu sâu rộng về nội dung ấy thì làm sao truyền đạt cho các bạn hiểu, vả lại là môn thi tự luận e vẫn mong muốn các giáo viên đích thân giảng dạy từng bài. Chưa kịp hiểi về bài bạn thuyết trình cô đã đặt nhiều câu hỏi khó, khi sửa các câu hỏi thì nhanh, không kịp nghe và chép vào vở. Cô hay đi ra ngoài nghe điện thoại, không nhiệt tình và có ý phân biệt học sinh trường mình với trường công.",rất tệ,,,,
Không thú vị,rất tệ,,,,
Kiến thức của môn học khá rộng nên cần có thời lượng giảng dạy nhiều hơn,rất tệ,,,,
Kiến thức dài và trừu tượng nên dễ gây buồn ngủ,rất tệ,,,,
"Mon hoc sau rong nhung tiet hoc qua it , tai lieu chua cap nhat duoc nhieu",rất tệ,,,,
Mon học khó nắm bắt,rất tệ,,,,
Thầy chưa nhiệt tình,rất tệ,,,,
Thầy chưa ôn nội dung,rất tệ,,,,
"Thầy dạy chán, dạy không có trách nhiệm, dạy trễ giờ, thường xuyên nghe điện thoại, cho bài lớp để làm việc riêng. giảng bài không tận tình ",rất tệ,,,,
Thầy dạy lý thuyết nhiều quá không gây hứng thú học cho SV,rất tệ,,,,
Thầy dạy nghiêm khắc.,rất tệ,,,,
"Thầy giảng khó hiểu,  không thể tập trung được,  thường dùng những giọng điệu kì lạ",rất tệ,,,,
Thầy hơi thiên vị,rất tệ,,,,
Thầy nên nghiêm khắc hơn với những bạn nói chuyện nhiều trong giờ học,rất tệ,,,,
"Thầy nói còn nhỏ, hơi khó nghe. Thầy vui tính.",rất tệ,,,,
Tiết học hơi nhàm chán,rất tệ,,,,
Tiết học hơi nhàm chán,rất tệ,,,,
Tài liệu cần giải thích các vấn đề chi tiết hơn,rất tệ,,,,
Tôi nghĩ thầy nên thử mở một phiên tòa thu nhỏ để các bạn tập thực hành giải quyết tình huống sẽ tốt hơn,rất tệ,,,,
Tăng tiết học lên để tìm hiểu nhiều hơn ,rất tệ,,,,
"Tạo sự đồng bộ của giảng viên, hạn chế thay đổi giảng viên trong lúc học. Khách quan trong điểm 30%",rất tệ,,,,
bf,không liên quan,,,,
chua tot,rất tệ,,,,
chua tot,rất tệ,,,,
"cô dạy hời hợt, không cung cấp nhiều kiến thức chuyên ngành",rất tệ,,,,
"cần có nhiếu ví dụ thực tiễn hơn,và cho sinh viên thực nghiệm vấn đề thật",rất tệ,,,,
