Nhận xét đánh giá,Cảm xúc,,,,,
Cô dạy khó hiểu,rất tệ,,,,,
k,rất tệ,,,,,
thay dạy de hieu va chi tiet het suc cu the ,rất tệ,,,,,
Không có nhận xét ,rất tệ,,,,,
Tạm được,rất tệ,,,,,
Cô nhiệt tình giúp đỡ sinh viên,rất tệ,,,,,
Cô dạy rất dễ hiểu ,rất tệ,,,,,
Tôt,rất tệ,,,,,
giảng viên không quan tâm đến chất lượng sinh viên chỉ dạy qua loa ,rất tệ,,,,,
giảng viên cần quan tâm đến sinh viên hơn,rất tệ,,,,,
Giảng viên giảng bài nhanh khó hiểu,rất tệ,,,,,
Rất thích cách giảng của cô mong môn toán mấy năm sau được gặp cô nữa,rất tệ,,,,,
cô dạy dễ hiểu và nhiệt tình,rất tệ,,,,,
Dạy tốt  nhiệt tình,rất tệ,,,,,
Cô dạy hay rất dể hiểu,rất tệ,,,,,
Giang vien dạy de hieu,rất tệ,,,,,
kho hieu bai,rất tệ,,,,,
Tốt,rất tệ,,,,,
Không nhận xét gì thêm,rất tệ,,,,,
ok,rất tệ,,,,,
Bài giảng khó hiểu  Đối với tôi ,rất tệ,,,,,
tốt,rất tệ,,,,,
Giảng viên có trình độ chuyên môn tốt giảng dạy dễ hiểu rõ ràng,rất tệ,,,,,
thầy dạy tận tình  quan tâm sinh viên,rất tệ,,,,,
thầy dạy nhiệt tình,rất tệ,,,,,
tuyệt,rất tệ,,,,,
tốt,rất tệ,,,,,
Thầy chỉ dạy nhiệt tình  dễ hiểu ,rất tệ,,,,,
thầy thân thiện và nhiệt tình,rất tệ,,,,,
Thầy vui tính ,rất tệ,,,,,
không có,rất tệ,,,,,
Cô giảng bài rất chi tiết  ,rất tệ,,,,,
dễ hiểu,rất tệ,,,,,
tốt ạ,rất tệ,,,,,
Môn học rất vui giảng viên dạy hay,rất tệ,,,,,
GV hướng dẫn bài tập không hiểu bình thường đã không hiểu lại còn cho nhiều bài phức tạp lại càng không hiểu gì hết,rất tệ,,,,,
tốt,rất tệ,,,,,
Thầy dạy nhiệt tình,rất tệ,,,,,
Cô hơi dễ ,rất tệ,,,,,
tốt,rất tệ,,,,,
tốt,rất tệ,,,,,
Tốt,rất tệ,,,,,
dạy tốt,rất tệ,,,,,
nhiêt huyêt,rất tệ,,,,,
e không có ý kiến,rất tệ,,,,,
Thầy dạy cặn kẽ,rất tệ,,,,,
không ý kiến,rất tệ,,,,,
gud,rất tệ,,,,,
 Giảng viên có kiến thưc sâu rộngtrình bày nội dung bài giảng rõ ràng,rất tệ,,,,,
không có ý kiến,rất tệ,,,,,
không có gì,rất tệ,,,,,
Khá hài lòng,rất tệ,,,,,
Buổi học của thầy hôm nay rất tệ.,rất tệ,,,,,
Giảng viên này giảng dạy rất tệ.,rất tệ,,,,,
"Chất lượng khóa học quá kém, thật sự rất tệ.",rất tệ,,,,,
"Không hiểu gì từ buổi giảng này, quá tệ.",rất tệ,,,,,
Đề thi cuối kỳ khó đến mức rất tệ.,rất tệ,,,,,
Cách giảng dạy của cô giáo này quá tệ.,rất tệ,,,,,
"Môn học này rất tệ, không có giá trị thực tiễn.",rất tệ,,,,,
"Không thể chấp nhận được cách thầy giảng dạy, quá tệ.",rất tệ,,,,,
"Giáo viên không nắm vững kiến thức, dạy rất tệ.",rất tệ,,,,,
