Nhận xét đánh giá,Cảm xúc,,,,,
đồng ý,bình thường,,,,,
Em thấy ổn rồi,bình thường,,,,,
không có ,bình thường,,,,,
Em không có ý kiếnThân,bình thường,,,,,
không ý kiến,bình thường,,,,,
không,bình thường,,,,,
mon hoc rất huu ich,bình thường,,,,,
Không có nhận xét gì thêm,bình thường,,,,,
không có,bình thường,,,,,
bình thường,bình thường,,,,,
bình thường,bình thường,,,,,
Khá,bình thường,,,,,
không,bình thường,,,,,
không có,bình thường,,,,,
không,bình thường,,,,,
thầy dạy nhiệt tìnhluôn giúp đỡ sinh viên trong quá trình học tập,bình thường,,,,,
Vui tính  Tốt,bình thường,,,,,
chưa tốt,bình thường,,,,,
không ý kiến,bình thường,,,,,
không có nhận xét,bình thường,,,,,
No comment,bình thường,,,,,
Nhiệt tình chu đáo giỏi chuyên môn,bình thường,,,,,
thầy vui vẻ,bình thường,,,,,
Sinh viên nắm được bài,bình thường,,,,,
Hài lòng,bình thường,,,,,
thầy rất vui vẻ dạy dễ hiểu,bình thường,,,,,
Tốt,bình thường,,,,,
Tốt,bình thường,,,,,
Môn học này khá hay tuy nhiên giảng viên dạy vẫn chưa cuốn hút gây nhàm chán,bình thường,,,,,
không,bình thường,,,,,
thầy nên dạy kỹ hơn ,bình thường,,,,,
thầy dạy tốt tuy nhiên thầy nói hơi nhỏ,bình thường,,,,,
Tốt,bình thường,,,,,
hay và tốt,bình thường,,,,,
Tạm,bình thường,,,,,
Môn học hay nhưng giảng viên dạy không được hay,bình thường,,,,,
Bình thương,bình thường,,,,,
Tốt,bình thường,,,,,
Em cảm ơn Thầy đã truyền đạt những kiến thức bổ ích về môn Bảo mật thông tin,bình thường,,,,,
Thầy rất nhiệt tình ,bình thường,,,,,
tốt,bình thường,,,,,
Môn học hay,bình thường,,,,,
không có đề xuất gì thêm,bình thường,,,,,
Tốt,bình thường,,,,,
Gv thực hiện tốt vai trò giảng dạy của mình,bình thường,,,,,
không có ý kiến,bình thường,,,,,
rất co trach nhiem ,bình thường,,,,,
Thầy giảng bài rất chi tiết ,bình thường,,,,,
không,bình thường,,,,,
Thây day rât tôt,bình thường,,,,,
dạy rất tốt,bình thường,,,,,
thầy dạy dễ hiểu,bình thường,,,,,
giáo viên giảng hay thân thiện truyền đạt nhiều thông tin có giá trị cao,bình thường,,,,,
rất hay,bình thường,,,,,
Thầy dạy tốt giảng bài rất kỹ và rõ ràng,bình thường,,,,,
Môn học hay và thú vị,bình thường,,,,,
cảm thấy hài lòng,bình thường,,,,,
Không có,bình thường,,,,,
Thầy nhiệt tình,bình thường,,,,,
Khong co,bình thường,,,,,
Nhìn chung thì cũng tạm ổn ,bình thường,,,,,
môn hoc rất tốt và bổ ích,bình thường,,,,,
Không có,bình thường,,,,,
Thầy dạy nhiệt tình tài liệu phong phú,bình thường,,,,,
ok,bình thường,,,,,
tốt,bình thường,,,,,
tốt,bình thường,,,,,
không có nhận xét,bình thường,,,,,
giảng viên dạy khá dễ hiểu,bình thường,,,,,
Thầy dạy rất nhiệt tình và dể hiểu,bình thường,,,,,
sinh viên không nhận xét gì thêm,bình thường,,,,,
giảng viên nhiệt tình ,bình thường,,,,,
không co nhan xet,bình thường,,,,,
Thầy dạy rất hay và nhiệt tình ,bình thường,,,,,
Dạy tốt giúp sinh viên mau tiếp thu,bình thường,,,,,
thầy dạy nhiệt tình,bình thường,,,,,
không,bình thường,,,,,
tốt,bình thường,,,,,
Giảng viên dạy tốt,bình thường,,,,,
GV nhiệt tình,bình thường,,,,,
Cô dạy nhiệt tình và dễ hiểu,bình thường,,,,,
Không nhận xét và đề xuất gì,bình thường,,,,,
không ý kiến,bình thường,,,,,
thầy dạy hay và kĩ càng,bình thường,,,,,
dạy tốt,bình thường,,,,,
Không có đề xuất,bình thường,,,,,
không có nhận xét gì,bình thường,,,,,
thầy dạy rất hay và dễ hiểu,bình thường,,,,,
Binh thương,bình thường,,,,,
thầy giảng quá hay rất hữu ích,bình thường,,,,,
Tốt,bình thường,,,,,
giáo viên dạy nhiệt tình dễ hiểu,bình thường,,,,,
giảng viên dạy khá,bình thường,,,,,
Tốt,bình thường,,,,,
Tất cả đều tốt,bình thường,,,,,
Rất hài lòng,bình thường,,,,,
Tot,bình thường,,,,,
rất hai long ,bình thường,,,,,
Cô dạy nhiệt tình và dễ hiểu,bình thường,,,,,
tốt,bình thường,,,,,
Không,bình thường,,,,,
tốt,bình thường,,,,,
được,bình thường,,,,,
Giảng viên giảng dạy nhiệt tình,bình thường,,,,,
Giảng hay chuyên môn giỏi nhiệt tình,bình thường,,,,,
Không,bình thường,,,,,
Tot,bình thường,,,,,
KHÔNG,bình thường,,,,,
Cô day nhiêt tinh,bình thường,,,,,
Em hài lòng với giảng viên,bình thường,,,,,
Tốt ,bình thường,,,,,
Tốt,bình thường,,,,,
Cô dạy tốt,bình thường,,,,,
vui vẻ nhiệt tình trong giảng dạy,bình thường,,,,,
Thầy dạy tốt,bình thường,,,,,
tốt,bình thường,,,,,
trong quá trình giảng thầy nói chuyện còn hơi nhỏ nhưng lại rất nhiệt tình chỉ dẫn cho sinh viên cũng khá là vui vẻ,bình thường,,,,,
tốt,bình thường,,,,,
không,bình thường,,,,,
Tốt,bình thường,,,,,
Không đề xuất,bình thường,,,,,
môn học thú vị,bình thường,,,,,
Tốt,bình thường,,,,,
tạo hứng thú cho người học nhiệt tình trong giảng dạy,bình thường,,,,,
không có nhận xét gì thêm,bình thường,,,,,
Giảng dạy được,bình thường,,,,,
tận tình dễ hiểu ,bình thường,,,,,
Hài lòng về thầy kiến thức sâu rộng giảng dạy nhiệt tình hỗ trợ sv nhiệt tình,bình thường,,,,,
Cô day đươc,bình thường,,,,,
không co,bình thường,,,,,
Bài giảng dễ hiểu,bình thường,,,,,
giảng viên nhiệt tình,bình thường,,,,,
Giảng viên có kiến thưc sâu rộng và trình bày chính xác các kiến thức cơ bản của môn học,bình thường,,,,,
không có nhận xét,bình thường,,,,,
Dạy nhiệt tình dễ hiểu bài,bình thường,,,,,
Giảng viên dạy nhiệt tình ,bình thường,,,,,
Không có,bình thường,,,,,
môn học hay ,bình thường,,,,,
dạy de hieu,bình thường,,,,,
không có,bình thường,,,,,
Không có,bình thường,,,,,
không có ý kiến,bình thường,,,,,
không co nhan xet gi,bình thường,,,,,
thầy rất tốt,bình thường,,,,,
tốt,bình thường,,,,,
giảng viên dạy dễ hiểu dễ tiếp thu,bình thường,,,,,
thây nay day hay gây kick thick cho sv hoc,bình thường,,,,,
Thây giang dê hiêu ,bình thường,,,,,
tam on,bình thường,,,,,
thầy dạy rất tốt,bình thường,,,,,
Giáo viên tích cực giảng dạy Dễ hiểu,bình thường,,,,,
Thầy giảng rất hay truyền lửa cho sinh viên môn học tiêu biểu,bình thường,,,,,
thầy dạy hay dễ hiểu,bình thường,,,,,
thầy dạy rất hay,bình thường,,,,,
Em rất cảm ơn thầy vì khi học với thầy đã giúp em thêm nhiều kiến thức về kỹ năng mềm,bình thường,,,,,
tốt tích cực,bình thường,,,,,
Thầy dạy dễ hiểu,bình thường,,,,,
Ok,bình thường,,,,,
Giảng viên giảng dạy tốt rất nhiệt tình,bình thường,,,,,
thay dạy hay nhiệt tình,bình thường,,,,,
miễn bình luận,bình thường,,,,,
tốt,bình thường,,,,,
nice,bình thường,,,,,
Không có nhận xét,bình thường,,,,,
tốt,bình thường,,,,,
Thầy giảng dạy tích cực nhiệt tình Môn học thú vị Nên đổi phòng học có chất lượng âm thanh và máy chiếu tốt hơn,bình thường,,,,,
Thầy giảng bài dễ hiểu khung điểm rõ ràng,bình thường,,,,,
thây day rât nhiêt tinh,bình thường,,,,,
Rất tốt,bình thường,,,,,
Ko có nhận xét gì ,bình thường,,,,,
Thầy nhiệt tình trong bài giảng Cung cấp thêm rất nhiều kiến thức thực tế Cho sinh viên tiếp cận với  số công nghệ mới,bình thường,,,,,
thầy dạy nhiệt tình,bình thường,,,,,
Rất hài lòng,bình thường,,,,,
Thầy dạy vui vẻ nhiệt tình với sinh viên,bình thường,,,,,
vui tinh,bình thường,,,,,
Thầy nhiệt tình giảng dạy dễ hiểu,bình thường,,,,,
THầy dạy hay và tốt lắm,bình thường,,,,,
thầy dạy nhiệt tình,bình thường,,,,,
tốt,bình thường,,,,,
Tốt,bình thường,,,,,
Gv có kiến thức sâu rộng trình bày rõ ràng dễ hiểu,bình thường,,,,,
Tốt,bình thường,,,,,
Không có ý kiến thêm,bình thường,,,,,
thây day rât vui tinh va dê hiêu,bình thường,,,,,
dạy tốt,bình thường,,,,,
giao vien nhiệt tình,bình thường,,,,,
Thầy dạy tốt,bình thường,,,,,
Thây day rât tôt,bình thường,,,,,
Thầy dạy dễ hiểu nói rất nhiều kiến thức mới ,bình thường,,,,,
Giảng viên nhiệt tình,bình thường,,,,,
tích cực thân thiện,bình thường,,,,,
Rất thích được học dưới sự chỉ dạy của thầy,bình thường,,,,,
giảng viên nhiệt tình vui tính,bình thường,,,,,
tôt,bình thường,,,,,
Nhiệt tình chu đáo giỏi chuyên môn,bình thường,,,,,
vẫn mong muốn được học thầy,bình thường,,,,,
Tốt,bình thường,,,,,
Không có nhận xét,bình thường,,,,,
Môn học thú vị,bình thường,,,,,
Thay dạy qua nhanh không the nam bat kip qua ngan gon kho hieu,bình thường,,,,,
thầy dạy hay quên hay sai,bình thường,,,,,
Tốt,bình thường,,,,,
Dạ không có ạ,bình thường,,,,,
Bóng hay bị xẹp ,bình thường,,,,,
tốt,bình thường,,,,,
Thầy dạy tốt,bình thường,,,,,
giảng viên ít cho làm bài tập để rèn kĩ năng giải đề cho sinh viên,bình thường,,,,,
